period,total_minutes,productive_minutes,session_count,focus_score_pct,user_type,freq
2026-06-01,519.0,365.0,8,70.33,User1,D
2026-06-02,616.0,571.0,8,92.69,User1,D
2026-06-03,761.0,224.0,12,29.43,User1,D
2026-06-04,654.0,409.0,11,62.54,User1,D
2026-06-05,534.0,414.0,11,77.53,User1,D
2026-06-06,868.0,616.0,15,70.97,User1,D
2026-06-07,542.0,443.0,10,81.73,User1,D
2026-06-08,1535.0,1135.0,22,73.94,User1,D
2026-06-09,1044.0,495.0,18,47.41,User1,D
2026-06-10,717.0,609.0,11,84.94,User1,D
2026-06-11,468.0,290.0,9,61.97,User1,D
2026-06-12,374.0,119.0,8,31.82,User1,D
2026-06-13,420.0,308.0,11,73.33,User1,D
2026-06-14,537.0,499.0,8,92.92,User1,D
2026-06-15,613.0,401.0,9,65.42,User1,D
2026-06-16,300.0,212.0,9,70.67,User1,D
2026-06-17,525.0,273.0,9,52.0,User1,D
2026-06-18,722.0,525.0,11,72.71,User1,D
2026-06-19,1081.0,626.0,15,57.91,User1,D
2026-06-20,587.0,353.0,12,60.14,User1,D
2026-06-21,383.0,85.0,11,22.19,User1,D
2026-06-22,772.0,497.0,12,64.38,User1,D
2026-06-23,1031.0,601.0,14,58.29,User1,D
2026-06-24,965.0,446.0,14,46.22,User1,D
2026-06-25,913.0,504.0,14,55.2,User1,D
2026-06-26,526.0,213.0,8,40.49,User1,D
2026-06-27,908.0,341.0,16,37.56,User1,D
2026-06-28,625.0,143.0,11,22.88,User1,D
2026-06-29,632.0,274.0,12,43.35,User1,D
2026-06-30,701.0,354.0,12,50.5,User1,D
2026-07-01,412.0,232.0,10,56.31,User1,D
2026-07-02,359.0,214.0,8,59.61,User1,D
2026-07-03,739.0,444.0,11,60.08,User1,D
2026-07-04,655.0,363.0,15,55.42,User1,D
2026-07-05,460.0,347.0,8,75.43,User1,D
2026-07-06,649.0,509.0,13,78.43,User1,D
2026-07-07,599.0,519.0,9,86.64,User1,D
