user_type,week_start,total_minutes,productive_minutes,session_count,focus_score_pct
User1,2026-06-01,4494.0,3042.0,75,67.69
User1,2026-06-08,5095.0,3455.0,87,67.81
User1,2026-06-15,4211.0,2475.0,76,58.77
User1,2026-06-22,5740.0,2745.0,89,47.82
User1,2026-06-29,3958.0,2228.0,76,56.29
User1,2026-07-06,4866.0,3402.0,79,69.91
User2,2026-06-01,5183.0,2591.0,84,49.99
User2,2026-06-08,5731.0,3201.0,86,55.85
User2,2026-06-15,4124.0,2745.0,72,66.56
User2,2026-06-22,4471.0,3077.0,73,68.82
User2,2026-06-29,4980.0,2837.0,83,56.97
User2,2026-07-06,5086.0,2080.0,83,40.9
User3,2026-06-01,4247.0,2830.0,74,66.64
User3,2026-06-08,5472.0,3250.0,89,59.39
User3,2026-06-15,4692.0,2830.0,81,60.32
User3,2026-06-22,4412.0,2720.0,68,61.65
User3,2026-06-29,4800.0,2637.0,77,54.94
User3,2026-07-06,4831.0,3365.0,78,69.65
User4,2026-06-01,3872.0,2456.0,65,63.43
User4,2026-06-08,3252.0,1607.0,58,49.42
User4,2026-06-15,3567.0,2317.0,66,64.96
User4,2026-06-22,4798.0,3010.0,74,62.73
User4,2026-06-29,4269.0,2291.0,78,53.67
User4,2026-07-06,4341.0,3238.0,74,74.59
User5,2026-06-01,4835.0,1926.0,78,39.83
User5,2026-06-08,4405.0,2368.0,79,53.76
User5,2026-06-15,4865.0,2620.0,79,53.85
User5,2026-06-22,4963.0,3109.0,75,62.64
User5,2026-06-29,4682.0,2977.0,80,63.58
User5,2026-07-06,5269.0,2211.0,81,41.96
